Unique-Menu
Chorillanas & Papas
Las Frescas
Rolls Makimono Cubierto en Palta
Insalate
Panqueques
Insalata
Gunkan
Promociones a Domicilio
"Pizza, Pizza y Más Pizza"
Rolls tempura y panko
Promociones para compartir
Rolls en palta
Hosomaki (8 Trozos)
Envuelto en palta
Dolci
Ceville rolls
Rolls envueltos en Salmón
Sándwich del Barrio
Ensaladas clásicas
Pizza a la Piedra
Wraps Sugerencias del Chef
Suprema de Pollo
Chirachi
Para dos personas
Platos frios
Churrascos y lomitos
Promos- Promociones
Especialidades del mar
Tempura rolls
Segundos
Nuestras Creaciones
Daburumaki
De la Casa
Hosomaki Grande
Sándwiches/panini italiano
Pollitos a la BBQ
Postres Familiar
Snacks
Cold drinks
"Los Amig@s, Comparten"
Medialunas
Postres
Pastelería
Armala a tu gusto
Slim Rolls
Tempuras y Apanados Rolls
Perros Calientes
As Chico
Comida Árabe
Promociones de invierno
Cheesecake
CHOICES bebidas
Rolls de la Casa
California Especiales
Cóctel por mayor
White Rolls
Niguri
Empanaditas orientales
Cafetería Funcional
Roll del chef
Menú Sushi Rooster
Hako Sushi Rolls
Entradas Frías y Calientes
Promociones de Kimura
Focaccine
Otras alternativas
Hoso tempura
Specialita della casa
Menú de almuerzo
Envueltos en Queso Crema
California Especial
Uramaki (10 unidades)
Envueltos en palta
Platos japoneses
Verduras
Champagne
Sake roll
Combinaciones Mashido Sushi
Envueltos en Jengibre
Vienesa Grande
Cremas y Sopas
Piqueos
Pescados fritos al plato
Chivito de pollo
Churrasco
Menú de la Semana
Roll envuelto en Sésamo
Sándwich de Ave
Especialidades de la Casa
Espumantes
Fajitas Tex Mex
Hay jugos naturales y otras bebidas
Tempurizados Especiales
Bushido Rolls Salmón
Bebidas
Omelettes & Skillets
Promo Lunes
Bushido Salmón
Ceviches y Sashimi
Menú Familiar
Comida Internacional
Para el Aperitivo
Pizzas Gourmet
Tostadas
Nikkey Rolls
Al plato
Tragos Importados
Futo Maki (6 unidades)
Classic rolls tempurizados y apanados
Salsa & Hot Sauces
Envuelto en Tempura
Special Hot
Agregados Extra
Bruschettas y pan
California Rolls con Queso Crema
Too Much Rolls
Camarón furay
Dulce Acompañamiento
Fontanas
Ingredientes Extras
Sushi (Piqueos)
Postres (envuelto en trufa de chocolate)
Menú Treasure Sushi
Promo - Pizzas 2 x1
Sándwich en Lomo de Cerdo
Hanamaki
Hotto Rolls
Cigarros
Telefritos
Escalopas
Promoción SÓLO Viernes 8 y Sábado 9
Toro Toro Vienesas
Cuarto caliente
Promoción 40% off
Destilados
Hot rolls - 20% off
Menús
Completo italiano
Almuerzo lunes
Jugos
Temakis
Sashimi y Niguri
Complementos
Rollos Premium
Combinaciones
H. Futomaki rolls
Pastas Secas
Rolls Fritos y/o Calientes
Landwich
Hamburguesa casera
Carpacho
Roll envuelto en Salmón
Yamato Rolls
"Donuts, Muchkins y Muffins"
Rolls envueltos de Salmón
Pizzas Clasicas
Ensaladas porteñas
Combinaciones experto
Palta
Avocado Roll's
Pizzas 2x1
Entre Amigos y Familia
Salsas Picantes
Ensaladas preelaboradas
Lomito
Hot rolls tempura
Postres individuales
Nigiri Sushi
Platos Thai
Sandwich a tu Gusto
Hosomaki (6 Unidades)
Temaki-Hosomaki
Menú Take
Tablas para 2 Personas
Rolls de la casa - 20% off
"California Envueltos en Sésamo, masago o ciboulette"
Snack
Ensaladas
Masas Rellenas
Platos de fondos
"Churrascos, lomito, hamburguesas"
Bebidas y jugos
Hot Rolls apanados en Panko
Familiares
Chorrillanas
G. Hosomaki rolls
Ceviches y Fríos
Tempuras y apanados
Rolls Calientes y Otras Delicias
Entradas de Mariscos
Ensaladas individuales
Menú Almuerzo
Platos de arroz tipo Gohan
Salmón Rolls
Especialidades de carne
Toriniku
De Mañana
Chicken Rolls
Roll especiales
Ke Banquetazo
Chaumín
Envuelto en Salmón
Chirasi
Envuelto en nori
Platos
Sándwiches Clásicos
Pollo al Wok
Rolls Paronel
Para Acompañar & Picar
Comida japonesa
Almuerzo martes
Combinación 20 piezas
Sándwich de milanesa
Ofertas
Tempura y Panko Roll
Especial Rolls
Tempuras
Rolls para Niños
Calzoni
Vegetariano Roll
Calzone
"Churrasco, lomo o hamburguesa"
Sub del día
Hot Rolls Furai
Pizza Especial
Chorrillana
Lil´ Jumpin´ Beans
Piqueos Fríos
D. Cheese cream rolls
Sándwiches (tradicionales en Pan Frica)
Mixtos
Sándwich Del Rincón
Roll Especiales
Hot Rolls Tempura y Furai
Combo + Complemento
Envuelto en Salmón y Palta
Hot Rollls
Kebab
Rolls envueltos en Nori
Piqueos (tipo coctel)
Papas gourmet
Jugos Individuales 300cc
Pizze fuzion
Especialidad de la casa
Rolls en panko y en tempura
C. California rolls
Sándwiches fríos Tulu´s
Mezze
Montreal Bagel
Platos vegetarianos
Hamburguesas de La Granja
Sanguches
Especialidad en pescados
Pizzas especialidades
Empanadas
Especial
Tragos y Cerveza
Envueltos
Futomaki - 20% off
Borde relleno con queso
Fusión Gourmet
Razz nori
Cocktelería
Antojitos
Arrebatos hambriento y apurado
Promos - Promoción
Rolls Hosomaki
Classic rolls envueltos en salmón
Appetizer frío
Para Picotear
Platos tailandeses
California Rolls y Zona Light
Galletas Dulces
Pollo / Conejo
Promo menú I Dan
Per Bere
Combinados
Ingredientes Adicionales
Hosomaki Tempura en Panko
Quesadillas
Philadelphia rolls
Helados artesanales
Ensalada Premium
"Hosomaki, Niguiri, Temaki"
Rolls Inside
Platos fuertes de cocina
Platos familiares
Wrap
Rolls Tempura Fritos
Promociones Pollo
Piqueos calientes
Rolls envuelto en Palta
Otros Platos
Mix
Almuerzos y colaciones
Los más pedidos
Pizza
Special Palta
Sándwich o ensalada
Especialidades Pizzas
Rolls Frios
Pastas y verduras
Milanesas al plato
Salads & Soups
Postre
Pizzas promoción
Hamburguesas caseras de 200 gr.
Makimono rolls
Barra Tradicional
Pescados / Mariscos
Appetizer Calientes
Zona Ligth
Arroz y Pastas
"Tablas para ""El Malón"""
Razz wraps
Arma tu sándwich
Cervezas y Bebidas
Sashimi y Ceviche
Tablas para Compartir
Especiales
Ensaladas & Verduras
Picadas
Rolls 15% OFF
Rolls Especiales Banzai
Almuerzos
Otras carnes
Opciones Big Sandwiches
Ciboulette
Sashimi y Nigiris
Bebidas Individuales 500cc
Festival de gyosas
Rolls Creaciones Urbanas
Para tomar
Comida Caliente
Arrebatos compartidos
Ensaladas de la casa
Sándwiches de milanesa
Ensalada de la casa
Dim Sum
Sofisticados Rolls
25 % off Platillos
Sanguches de filete de pollo
Bronto Picoteo
Platos Nikkei
Tortas y dulces
Temaki - 20% off
Salsas especiales
Choices
Aderezo para la ensalada
Hamburguesas caseras
Energéticas
Piscos
Los Frescos Cebiches y Tiraditos
Zona Ligth Rolls
Gohan Ok
Rolls Calientes (Panko o Tempura)
opciones de envueltos California Rolls
Maguro Atún
Menú 10 rollos
Promociones Kanpeki
Nikkei Roll
Bronto Ensaladas Tradicionales
"Bebidas, Té y Extras"
Pizzetas
Envuelto en Pescado
Envueltos en palta y salmón
Tailandia
Sweet Rolls
"Gukan, Gyosas y Nigiris"
Sándwich Gourmet
Jugo en leche
Cafetería
Promociones Familiares
Cream Cheese Rolls
Gohan
CHOICE 3 ingredientes
Lo Dulce
Rolls Especiales
Califorma Rolls
Diente de dragón
Sándwiches de la casa
Combinaciones Wasabi
Burrito
Uramakis
Creaciones Kyu
California Rolls Crema
Bebidas 2 Lts.
Nuestras combinaciones
Promo Viernes
Snacks y Entradas
Salsa y Extras
Sashimi - 20% off
Futomakis
Menú del día
Menús para Compartir
Platos Peruanos
Pastelería y Bollería
Asia
Temaki
Combinaciones y Menú
Sandwich de Salmón Ahumado
Combinaciones Florida Sushi
Ensaladnwich
Platos del chef
Appetizer
Ofertas al paso
Sandwichs
15 off en la carta
Razz tempura
Tablas Grandes
Sugerencias
Hamburguesas
Rolls Calientes Panko
Roll Especial
Especiales de fin de semana
Temaki (Hand-Roll)
Cortes
Giga Promo
Dulces
Sándwiches vegetarianos
Parrillada china
Otras Promociones
Carnes
Bushido Hot Roll
Sándwich Miga
Menu Italiano
Hot Roll + Especiales
Desayuno y Hora del Té
Sashim
Ensalada César + Jugo
The sweets pasteleria
Special Rolls II
Viernes
Pizzas quijotescas
Arroz salteado
Promoción viernes 8 y sábado 9 de Marzo
Variedades de arroz
Rolls Salmón
California rolls - 20% off
Pizzas Deluxe
Entremeses Fríos
Refrescos
Futomaki - 30% off
Hamburguesas dobles
Special rolls
Del Chef
Empanadas al horno
Shawarma
Sánguches
Repostería Tulu´s
Vacuno
Special Salmón
T-T-Tacos
Carne
Sándwich
Nigiri Especial
Toro Toro Sándwich Vegetarianos
House Rolls
Nuestros Paquetes
Pastas Artesanales
Rolls y Platos Calientes
Razz nigiri
Appetizers Calientes
Especiales y tempura
Especial en myrai sushi
Camarones
Roll
Sugerencias Mix
Cervezas
Cortes sashimi
Criollos
Envueltos mixtos
Tori rolls
Sándwich Clásicos
Uramaki avocado
Ensaladas y Sopas
Cafés
Apanados en panko
Empanadas de Horno
Entradas Frías
Rolls Apanados y Tempura
Agregados para pizza
Comidas rápidas
Promociones Desayunos
Empanaditas
Rolls Especial Palta
Fajitas x4
Fajitas x2
Ensaladas Gourmet
Chizu Rolls
Rainbow roll
Jugo
Sopaipillas
Sándwich 2X1
Uramaki rolls
Pizza al Taglio
Rollos Especiales
Agregados La Rotonda
Kids Menu
Picoteos Grupales
25 % Off Platillos
Salsas del rincón
Chorrillanas para Compartir
Empanadas de horno
Cenas Sólo para Dos
Wraps/ Fajitas
Especiales Fríos
Especiales Fritos
I Dolci
Sushi Sashimi Moriawase
Dietetico
Pollo sándwich
Super Special Hot Rolls
Cabernet Sauvignon
Milk Shake
Hot rolls  - 30% off
Shirashi
Rolls en Masago
Makimono
Ensaladas Thai
Nikkei Rolls
Mega Sándwich Tradicional
Camarón o Salmón furai
Tacos
Promos
"Rolls Envueltos en Sésamo, Amapola, Cebollín o Merkén"
Special Rolls Palta
Ensaladas especiales
Choriburger
Jugo en agua
Sándwich Carne de Vacuno
Ajíes y picantes
Uramaki Rainbow
Milanesas
Rolls envueltos en salmón
Rolls envueltos en palta (8 piezas)
Salsa adicionales
Hamburguesas Pieros
"Té, café e infusiones"
Rolls de Lujo
Bebidas 1.5 Lts.
Rolls Premium Nikkei
Rolls tempurizados y calientes
Slams
Promo Semana Santa
Ebi tempura
Sake
Extras Sushi Sky
Menus
Sanguchazos clásicos
Para compartir - 20% off
Empanadas y más
Sándwich de mechada
Makimono especial
Minimarket
Sushi fuzion
Completo
Makimonos
Empanadas con queso
Whisky
Sándwich Tradicionales
Special Rolls Salmón
Lasagna
Tempura Roll
Tempura y Apanados
Pollos a las brasas
Almuerzos y Platos Extras
Envueltos en masago
Rolls Fusión Púrpura
Platos Fríos y Calientes
Especialidad de parrilla
Korokees
Tataki
Menú para 2
Otros
Carta Menú
Menú para 4
Ensaladas Toro Toro Gourmet
Tradiciones Peruanas
Vegeta Rolls
Merlot
Niguiris y Sashimis
Pasta larga
Empanaditas Fritas
Sandwich
Pizza Premium
Tablas Árabes
Pizza a tu pinta
Top Rolls
Vegetal
Crepes Salados
Tragos Largos
Calizzas
Too much rolls
Vodka
Adicionales
Otros Sándwiches
Menu para Peques
Pizzas del mundo
Pizzas Voraz
Vinos Copa
Jugos y bebidas gaseosas
Ebi
Caprichos Mediterráneos
Raciones
Bebidas – Extras
Special Rolls Envueltos en Salmón
Empanada Premium
Empanada Especial
Para continuar
Vodkas
Sanguchazos los nuestros
Promoción de Almuerzo
Filete
Bebidas en lata
Para disfrutar
Ensaladas Clásicas
Californias envueltos en Masago
Barros luco en pan frica
Exquisitos Ostiones y Camarones
Tutto Especialidades
Temaki (1 pieza)
Rolls Nikkei
Ali Salsas
Tapas envasadas
Ensaladas a tu gusto
Fusion rolls
Tapas
Ceviche y ensaladas
Sandwiches Vegetariano
Para acompañar - 30% off
Appetizer calientes
Sushimi
Pizza Speciale
Brochetas Yakitoris
Ensaladas Tulu´s
Rolls exclusivos (8 piezas)
Rolls en Salmón
Crudos
2x1
Cheese roll
Promociones Haruki
Piegattio fuzion
Chesse Roll's
Rolls furay y queso crema
Jugos en Leche
Paquetes
Piqueos y ceviches
Ceviches
Hamburguesas Artesanales & Suprema de Pollo con Salsas
Sugerencias del Rincón
Rolls Especiales o de Fantasía
Yakimeshi
Papas Fritas
Special Cheese Rolls
*Envuelto
Tiraditos
Sakana Tataki
Fondos de pollo
Hand Rolls
Sashimi 8 Cortes
Apetizzer y preparaciones calientes
Rolls vegel
Confitería
Fusión & Gourmet
Barra Fría de Café
Salchichas
Hand Roll
Para Beber
Sándwich preparados
Hosomaki Rolls
Niguiris
Atún
Ave
Fideos de Arroz
Avocados Rolls
Chancho
Pizzas del Mundo
Avocado Roll
Apetizzers
America Rolls
Productos Unitarios
Panes Horneados
Sushi para Niños
Carne Mechada
Hot Rolls
Carnes y Otros
Avocado Rolls
Churrascos y Lomitos
Combinaciones More
Cream rolls - 20% off
Rolls para embarazadas
Deli Rolls
Cocteles
Capelleti Gratinado
Rolls Apanados
New Rolls
Fusiones
Platos Preparados
Salsas y Otros
Rolls de la casa - 30% off
Sushimanía rolls
Promo Martes
Sándwich tradicionales
Salad & soup
Cebiche Salmón
Acompañamientos y platos calientes
Rollos calientes
Sandwich premium
Gnocchi lasagna e risoti
Hielo
Mariscos
Nuestras ensaladas
Bebidas y postres
Promociones Con Mucha Hambre
Rolls Palta
Postres Artesanales
Menú niños
Para acompañar
Razz palta
Shawarmas y Dönner
Chirashi
Sándwich Destacados
Entradas di Mare
Nigiri (2 unidades)
Nuevos rolls
Furai
Hay Quiches
Promociones Para Dos
Sugerencias del chef
Promoción -  74 Piezas x $18.000
Tiger Roll Especiales
Premium Nikkei Rolls
Pescados y mariscos
"Envueltos en sésamo, ciboullete o maní"
Combinación Mixta
Roll en Queso
Fondos de pescados y mariscos
Rolls Makimono Envuelto en Alga Nori
Platos Pop
Bocatas
Razz queso
Carta de Helados
Arma tus Rolls
Especias & Condimentos
Nigiri Moriawase
Colaciones del Día
Pescados
9 cortes (Envueltos en palta)
Pro rolls
Las Fritas
Deli Rolls (8 Trozos)
Round One
25% off platillos
Tablas Medieval del Rincón
Planchaditos
Arcoíris
Tablas de sushi
Arroces
Primera Patita
Promos - Promociones
Pizzas Familiares
Tallarines
Vienesas
Para comenzar
"Comida casera, rápida y sushi"
Roll de la casa
Hosotakis
Rolls envueltos en Queso Crema
Futomaki y hosomaki
Ensaladas y Agregados
Para Empezar
Hosomaki - 20% off
Dientes de Dragón
Tempura hot rolls
Niguiri y Gukan
Snack's
Mitad Rolls
Empanadas Fritas
Uramaki Especial
Cebiches y Fríos
Nuestros Combos
Pollos Asados
Menú Tentaciones
Envuelto en tempura
Cocktail del Rincón
Sándiches Vegetarianos
Star Rolls
Chaumin
Holy Guacamole
Appetizer caliente
Menú Premium
Premium Rolls
Promociones El Quijote
Rolls Fritos
Fideos
Arma Tu Pizza
Colaciones
Cheese
Vino
Promoción Sushi Moto
Guarniciones
California rolls
Promociones a domicilio
Vegetarianos y veganos
Cerdo
Salsa de Mister Sushi
Especial Tai
Tempura furay rolls
De Tarde
Empanadas japonesas (Gyozas)
Sandwiches de Ave
Niños
Promoción Menú
Carta de Vinos
Nori
Completos vegetarianos
Los Ave
California Roll's
Pizza Brutus
Sugerencias Kaizu
Vienesa Chica
Menu Mexicano
Furay o Tempura
Tempura Rolls
Rolls Furai
Rolls Envueltos en Queso Crema
Colaciones Sushi
Pizzas XL
Trilogías
Fettuccini
Appetizer Frío
Chirashis
Fettuccine
Sándwiches Sibaritas
Pitón
Empanaditas japonesas
Frutas
Clásicos California
Domburimono
Salads
Fondo de mariscos
Rolls y platos calientes
Menús Ejecutivos
Ollitas
25% Off Platillos
Sandwiches
Especial roll
Entrada
White rolls
Carne al Wok
Sushi California Rolls
Specialty
Rolls Calientes
Bebidas y Extras
Roll Envuelto en Palta o Salmón
Platos para llevar
Ceviches Bushido
Para compartir
Menú Clásico
Temaki - 30% off
Especial Palta
Promoción 2x1
Sándwich Carne de Cerdo
Para compartir - 30% off
Premium Rolls *
Tropical Cheese Roll
Rolls Especiales Envueltos en Palta
Nigiri
Sándwiches (Molde Sándwich)
Otros Productos
Entrantes
Supreme Rolls
Korokkes
Camarones y Verduras
Cevichería
Los Líquidos
Special rolls y vegetarianos
Sushiviche
Rolls envuelto en Salmón
"Pastas, Pescados"
Misceláneos y vegetarianos
Special Ozei
Menú infantil
Martes
Nigiri - 20% off
Niguiri
Vegetarianos en Curry
Avocado rolls - 20% off
Niguiri (2 Unidades por Porción)
Para acompañar - 20% off
Bronto Vegetariano
Cocktail
Cream Rolls
Pizza 2X1
Dulces Arabes
Menú de almuerzo (Hasta las 13:00 hrs.)
Cervezas Importadas
Liquidos y Jugos
Ofertas de Sándwiches
Mozarella Rolls
Wraps
Rolls atún
Agregado Extra
Para empezar
Pizza cipolla fuzion
Choices y toppings
Pizzas tradicionales
Rolls con Cubierta Sugerida
Sandwiches de Pescado
Rolls mixtos envueltos en palta y salmón
Parrilladas
Roll's Calientes
Naturistas
Entradas y Bocadillos
Para Picar
Opciones postres
Champiñones rellenos apanados
Bebidas y Jugos
Ensaladas del Barrio
Ensaladas Naturistas
Hosomaki (8 unidades)
Sakana- Tataki
Rolls en salmón
Promociones Exclusivas
Platos Calientes (Chifa Peruana)
Hot dogs
Roll a elección
Shawarma clásico
A. Avocado rolls
Platos Criollos
Hosomak
Rolls Calientes (8 Piezas)
"Cafetería, Jugos naturales, Bebidas"
Costillas
Sándwich Naturales
Maki Moriawase
Platos Principales
Rolls calientes (8 cortes)
A la Parrilla
Crea tu pizza
Rice & Roll Gourmet rolls
Vegetariano
Chioces
Pastas congeladas
Chesse Rolls
Con Cubierta Apanada en Panko o Tempura
Fresh Rolls (6 bocados)
Bushido Mixto
Fusión
Shirashi Sushi
Ensaladas frescas
Toro Toro Sándwich Tradicionales
Té
Burritos y Tacos
Envueltos en Salmón
Conveniencias
Platos Especiales
Churrascos
Oni Premium
Camarón Furay
Almuerzo jueves
Promociones de Kazuo
Pollo Deshuesado Relleno
Cocktail de Aperitivos
Envueltos en ciboullete / masago
Especial Thaí
Carta gourmet
Nuestras tablas
Arma tu pizza
Sándwich vegetarianos
Entremeses Calientes
Cheese rolls
Chicken Box
Churrasco 2 x 1
B. Sake rolls
Variedades
Unamaki tempura
E. Duo rolls
Entradas Calientes
Ceviche
Rolls Tipo California
Complementos de la Ensalada
Promoción
Tempura y panko
Platos especiales
Rolls calientes
"Promoción 2 X 1. Elige Tus 2 Pizzas Medianas y Familiares, Iguales O Combinadas Y Cancela La De Mayor Valor"
Gohan (arroz frío)
Fusión Gourmet Rolls
Nuestras Variedades
Ceviche Nikkei y Japonés
Rolls envueltos de Pulpo
Tabla Sushi Moke
Desayunos y onces
Platos con Base de Arroz
Productos del Mar
Arma tu rolls
Furay & Tempura Rolls
Nikkei Bushido
Aderezos
Apettizers
Apetizeer
Nuestras promociones
Rolls en Palta
Envuelto en Palta
Combos Mix
Platos calientes
Uramaki
Acompañamientos
Churrasco/ Lomo/ Escalopa
Guisados
Brochetas Ok
Rolls calientes Tempura (8 cortes)
Bebidas Frías
Sándwich Ave
Futomaki rolls
Comida caliente
Productos
Extras Satoru
Special Hot Rolls
Sándwich Premium
Rolls Vegetarianos
Vienesas XL
Rolls california
Menú
Fondos
Arroces calientes
Entradas Peruanas Calientes
Churrasco marino
Chaufas
Para Tomar
Appetizers y papas fritas para compartir
Novedades
Fetuccinis
